PMID,label,method
36395254,other,machine learning
36378522,text mining,EMRs from 4 large Swiss hospitals
36377765,text mining,using key terms
36351477,text mining,natural language processing algorithm
36348981,text mining,systematic text mining
36343184,text mining,social media
36342855,text mining,natural language processing
36299761,text mining,sentiment-based data
36294022,text mining,"text mining techniques, such as sentiment and word frequency analyses"
36293828,other,functional data analysis
36273653,text mining,AI technologies
36231987,text mining,Text mining
36231265,text mining,manually
36226686,text mining,Natural Language Processing (NLP) method
36219757,text mining,topic modeling
36197713,other,descriptive keyword analyses
36173444,text mining,Natural Language Processing techniques
36171797,computer vision,data curation and SER platform
36170204,text mining,Natural Language Processing software
36168176,both,text mining
36167230,text mining,natural language processing
36161732,text mining,Natural language processing software
36125861,both,mixed methods
36115943,both,text mining
36112408,other,annotated tweets
36103642,text mining,Natural language processing
36099593,text mining,Natural Language Processing
36016280,other,RVTR
36004803,text mining,natural language processing
35980305,text mining,text mining
35969459,text mining,NLP-augmented algorithm
35943771,text mining,difference-in-differences estimation
35940089,text mining,Global Psychotrauma Screen
35938254,text mining,natural language processing
35933649,text mining,natural language processing and machine learning
35932383,text mining,Natural language processing (NLP) algorithms
35918110,other,natural language processing algorithms
35915339,both,ROBINS-I tool
35904194,both,narrative electronic health record text
35903103,text mining,logistic regression model and restricted cubic splines (RCS) analysis
35896853,text mining,retrospective content analysis
35885993,text mining,Steiner tree analysis
35866711,text mining,Natural language processing
35858478,both,patient identification method
35834334,text mining,fastText embedding
35830225,other,text summarization
35818354,other,Twitter API
35816976,text mining,open-source retrieval system for clinical data
35816382,text mining,natural language processing tools
35806251,text mining,Gene Ontology enrichment analysis
35798445,both,Electronic health record
35776071,text mining,state-of-the-art methods and manually curated data by experts
35771614,text mining,NLP tools
35770735,both,natural language processing algorithms
35760284,text mining,Phenotypic assays
35760063,text mining,retrospective
35752985,text mining,two-stage framework
35731966,other,NLP
35724589,text mining,traditional statistical analyses and natural language processing of open-ended data
35682477,text mining,natural language processing
35673023,text mining,automated knowledge synthesis and discovery framework
35672983,text mining,Systematically reconciling allergy information
35671409,both,natural language processing and statistical analyses
35667199,other,natural language processing algorithms
35658116,text mining,natural language processing
35652194,text mining,natural language processing
35649182,text mining,topic modeling
35647478,other,ICD/medication-based
35627696,other,social media
35627666,text mining,sleep problems and reduced self-disclosure
35614501,text mining,natural language processing
35593186,both,artificial intelligence text analysis
35579816,other,artificial intelligence
35575955,other,Alcohol Use Disorder Identification Test-Consumption score benchmarks
35574580,other,natural language processing and machine learning framework
35570942,text mining,web crawling
35568692,text mining,textual track-data-based approach for individual infection risk measurement
35568473,text mining,artificial intelligence
35565099,other,sentiment analysis
38469036,text mining,retrospective study
35506640,text mining,natural language processing model
35500711,text mining,NLP function
35495657,both,to compare its patterns in late presenters
35487789,other,NLP algorithm
35487729,text mining,network analysis to determine symptom network structure and multivariable Cox regression
35486433,both,manual inference
35485715,text mining,EHR data
35476822,text mining,top-down manner
35473734,text mining,medical records-linkage system
35471850,text mining,high-level text mining
35468092,other,natural language processing
35459671,text mining,generation of real-world evidence
35457483,other,Data analysis and visualization
35433567,text mining,computational
35428483,text mining,thematic analysis
35421112,text mining,structural topic modeling
35401238,text mining,Kaplan-Meier method
35343838,text mining,artificial intelligence
35331357,text mining,natural language processing algorithm
35329108,both,Text analysis of free comments
35322668,both,natural language processing (NLP) and machine learning
35322288,text mining,Confusion Assessment Method
35308921,text mining,retrospective
35299265,other,flow chart
35292234,text mining,electronic health records
35279157,both,measure the degree to which care in a health center is patient centered
35275077,both,structural topic modeling
35265904,both,NLP algorithm
35248103,text mining,NLP
35240374,other,autoregressive integrated moving average (ARIMA) and Prophet model
35207644,both,Natural Language Processing Classification
35206315,text mining,linguistic analysis
35202844,text mining,retrospective open cohort design
35180251,both,retrospective population-based cohort
35176872,text mining,structured chart review
35176059,text mining,descriptive natural language text mining
35168089,text mining,natural language processing model
35156000,text mining,NLP phenotyping
35144241,text mining,automated pipeline
35143527,text mining,NLP) technology
35142636,both,machine learning techniques
35142269,other,Machine Learning and Natural Language Processing) techniques
35129102,text mining,qualitative text mining analysis
35120017,both,natural language processing tools
35119337,both,mixed methods
35113914,text mining,computational text analysis
35080961,text mining,historical text mining
35077706,text mining,natural language processing models
35074819,text mining,"natural language processing pipeline, MedCAT"
35062119,other,topic modeling and sentiment analysis
35048875,text mining,natural language processing algorithm
35044305,text mining,cross-sectional text analysis
35037815,both,natural language processing
35026994,text mining,RF
35025670,text mining,Twitter's Application Programming Interface
35002950,text mining,randomized controlled trials
34990210,other,Automated splenomegaly labeling
34972768,both,natural language processing
34955284,text mining,multivariable analysis
34941555,other,mixed methods strategy
34934557,text mining,Python program
34932014,text mining,VADER (Valence Aware Dictionary for Sentiment Reasoning) model
34911701,both,natural language processing software
34911480,both,A questionnaire
34882607,text mining,Imaging/photography/video testing
34872842,both,electronic health record database
34870607,text mining,scalable methods
34864788,text mining,application programming interface
34841727,text mining,text mining algorithm
34839182,text mining,The Mortality Probability Model
34837942,other,deep language modeling approach
34836803,text mining,NLP technology
34813591,text mining,patient perspective
34807259,both,principal discharge diagnosis
34805217,other,Electronic Healthcare Records
34785397,text mining,electronic health record (EHR) data
34778317,both,Retrospective chart review
34767741,text mining,Natural language processing techniques
34730546,both,BERT
34705559,text mining,novel signaling pathway
34694167,both,search strategy
34691236,text mining,COX proportional hazard model
34689432,text mining,social-media
34677131,both,paper prototypes
34663647,text mining,multivariable logistic regression
34654839,text mining,text-mining
34642874,text mining,validated natural language processing method
34601275,other,literal text methodology
34594039,text mining,past medical history and text-mining of electronic medical records
34592539,text mining,interdisciplinary method that leverages natural language processing and manual content analysis
34583207,text mining,electronic health records
34580398,text mining,natural language processing and text-mining tool
34570715,text mining,linear regression
34555206,text mining,full-text analysis
34550383,text mining,NLP) algorithms
34547283,other,natural language processing of clinical notes from electronic health records
34488757,text mining,text mining
34488645,other,AI-assisted search
34485220,other,supervised random forest algorithm
34469446,both,natural language processing models
34431607,text mining,microbiome
34408271,text mining,diffusion weighted imaging
34402803,other,Natural Language Processing
34389264,both,Electronic Health Record Data
34387116,text mining,natural language processing of Optum electronic health records
34378143,text mining,Electrophysiological tests
34376505,text mining,natural language processing
37725533,text mining,Shakespeare method
34372783,text mining,multivariable logistic regression
34369351,text mining,DLUT-Emotion ontology
34344071,other,Case report form
34333625,text mining,algorithm
34314288,text mining,quantitative
34309624,both,natural language processing algorithm
34309581,both,content analysis
34298499,both,natural language processing
34294656,text mining,natural language processing
34293316,text mining,Fine and Gray hazards regression
34292640,text mining,NLP algorithm
34280118,both,natural language processing
34280072,both,standard protocol
34279863,text mining,retrospective review using data from patients' records
34279628,text mining,Natural language processing
34267597,text mining,molecular markers
34260644,text mining,Telemedicine
34260375,text mining,Quantifying Online News Media Coverage
34255783,other,natural language processing (NLP) techniques and machine learning classifiers
34255719,text mining,Natural language processing
34246332,both,random-effects models
34238055,text mining,quick screening methods
34232304,text mining,semisupervised machine learning algorithm
34209977,text mining,EmoWeb
34203191,text mining,semantic network module
34187423,both,manually validated
34182027,text mining,NLP
34174396,other,OMOP common data model
34172550,text mining,mixed-methods
34162217,text mining,machine learning
34130964,text mining,focusing on specific populations to reduce vaccine hesitancy
34127492,text mining,natural language processing
34105873,text mining,retrospective cohort study
34087630,text mining,Text mining
34086593,both,Natural language processing (NLP) algorithms
34081594,both,sentiment analysis
34062318,text mining,NLP
34051088,text mining,multivariate distributed logistic regression
34049372,both,Logistic regression
34042772,text mining,automated knowledge synthesis and discovery framework
34042593,computer vision,analysis
34039433,text mining,machine-learning
34023902,text mining,text mining
34022618,text mining,bespoke method
33949899,text mining,integrative text mining analysis
33947284,text mining,natural language-processing algorithm
33936502,other,Tuple-based Multi-Task Neural Network
33935189,text mining,natural language processing
33929889,text mining,unstructured electronic health record data
33922924,text mining,intelligent filter based on natural language processing
33916269,text mining,second-level search
33900934,text mining,topic detection
33894541,text mining,multi-step process
33886492,both,machine learning
33879482,text mining,Logistic regression
33866350,text mining,text mining
33847587,other,Hierarchical linear regressions
33833178,text mining,text-mining algorithms
33831316,text mining,Cohen κ coefficient
33819167,both,AI
33813239,text mining,Machine learning techniques
33798213,text mining,electronic medical record data
33795353,text mining,register data
33789721,other,mixed unsupervised/supervised method
33782896,other,natural language processing analysis
33760988,text mining,natural language processing (NLP)-based procedure
33759790,other,Automated extraction of patient travel history
33739287,other,natural language processing
33736723,both,natural language processing algorithms
33734116,both,billing codes and natural language processing
33731210,other,automated
33722567,both,natural language-processing algorithm
33718782,both,natural language processing techniques
33705995,text mining,retrospective cohort analysis
33684054,other,issue-attention cycle theory
33683212,other,machine learning
33657184,other,NLP
33638806,text mining,text analysis
33625876,text mining,retrospectively extracted from clinical notes and administrative data
33620282,text mining,automated natural language processing (NLP) system
33617460,both,infoveillance
33608417,text mining,genome-wide association studies (GWAS) summary statistics
33595442,text mining,text mining
33591286,text mining,Distributed web crawler and cloud agent acceleration technologies
33590405,text mining,natural language processing
33571675,other,LBD approach
33548429,text mining,A commercially available NLP algorithm
33548370,text mining,NLP
33534862,text mining,manual chart review
33530768,both,blood test
33529155,other,natural language processing and machine learning techniques
33523826,text mining,natural language processing algorithm
33516148,text mining,immune checkpoint inhibitors
33514372,text mining,text analysis software
33503030,text mining,QDA Miner and Wordstat
33493650,text mining,Natural language processing search algorithms
33489245,text mining,systematic database search
33485207,text mining,text mining
33485165,text mining,"natural language processing, and qualitative in-depth and contextual analysis"
33482968,text mining,computerized algorithm
33460585,both,retrospective data from multiple sites
33453476,text mining,veterinary pathology data
33450346,text mining,natural language processing pipeline
33449904,other,automatic natural language processing pipeline
33416429,text mining,Imaging by chest X-ray or blood tests
33408056,both,retrospectively reviewed
33403479,text mining,XRAIT
33400682,text mining,public opinion reproduction ratio
33400291,text mining,language processing script
33396713,other,N-gram feature extraction technique
37260866,other,natural language processing algorithm
33383291,text mining,Automated topic modeling
33380319,text mining,annotation
33373058,text mining,Exploratory narrative text analysis
33372972,text mining,case-control
33370384,text mining,reportable disease data
33369662,both,Veterans Health Administration (VHA) electronic health record data
33361056,text mining,text mining
33351675,text mining,standard diagnosis codes and natural language processing
33348764,text mining,machine learning
33333970,text mining,artificial intelligence
33320803,text mining,text-mining
33310013,text mining,natural language processing
33300996,other,Computational linguistics and statistical techniques
33212553,text mining,Kaplan-Meier method
33203265,text mining,electronic medical records
33198757,text mining,text mining
33184490,text mining,retrospective analysis
33166390,text mining,text-mining
33147163,both,customized software
33124167,text mining,Standard photographs were collected
33108306,both,Computational Approach
33095814,text mining,text mining
33090964,both,"machine-learning, data-driven algorithm"
33088845,text mining,cross-sectional survey
33079591,other,natural language processing algorithm
33059590,both,"true recall @ 95%,"
33037648,text mining,Bacterial LPS
33026354,text mining,meaning extraction method
33011300,text mining,allergy data
32985152,both,stratified random sampling method
32955571,text mining,combining structured and text data in VA electronic medical records
32941326,text mining,unsupervised machine learning
32936777,text mining,NLP techniques
32929458,both,inclusion and exclusion criteria
32925143,text mining,Text analysis tools
32914165,text mining,codified and NLP data
32897820,other,inductive
32893370,text mining,natural language processing techniques
32884825,other,retrospective
32866427,text mining,random effects meta-analyses
32858168,other,unstructured medical notes
32845882,other,Infoveillance
32807433,both,literature review and meta-analysis
32795992,other,topic modelling algorithm
32772573,both,Mediation analysis
32758315,text mining,"organic, large-scale discussion"
32731600,text mining,to extract latent topics that occur in tweet texts
32696698,text mining,text mining
32688386,text mining,logistic regression
32676672,both,natural language processing software
32674441,text mining,Sentiment analysis and topic modeling
32604797,text mining,text and data mining
32579119,text mining,human-computer techniques
32575147,text mining,real-world data (RWD) collection method
32573765,text mining,FFS and managed Medicare claims data
32556739,text mining,cross-sectional
32511492,other,social media mining
32500465,text mining,Functional enrichment analysis
32495081,text mining,natural language processing
32487803,text mining,Valence Aware Dictionary for sEntiment Reasoning
32628374,text mining,computer science text-analytics
32469322,text mining,natural language processing
32463365,other,nferX platform
32448248,text mining,natural language processing text mining
32448176,text mining,topic modeling
32446905,text mining,manual chart review
32440691,text mining,computational text-mining techniques
32428972,both,Data collected from standardized clinical practices
32427796,text mining,natural language processing
32421686,text mining,mixed methods approach blending the capabilities of social media analytics and qualitative analysis
32414887,other,Electronic Medical Record
32396126,other,hybrid artificial-intelligence (AI) model
32394521,text mining,natural language processing algorithm
32381659,text mining,electronically mailed a modified Nordic Musculoskeletal Questionnaire
32352677,text mining,Cox regression
32349076,text mining,natural language processing electronic search
32348275,both,EventPeriscope
32336304,both,natural language processing
32283530,text mining,nested case-control design
32259390,text mining,graphical network
32247933,text mining,Cox regression and Fine-Gray competing risk survival
32247672,text mining,text-mining
32219885,text mining,real-time reverse-transcriptase polymerase chain reaction
32213472,both,sequential explanatory mixed methods approach
32198982,text mining,automated approaches
32172020,other,chi-square-inverse method
32145261,both,natural language processing (NLP) algorithm
32135070,text mining,standard protocol
32132511,text mining,Prediction models
32126097,text mining,"Logistic regression, random forests, and a random undersampling boosting algorithm"
32114004,text mining,electronic health records
32068085,text mining,Cox proportional hazards models
32053866,text mining,Twitter
32048538,text mining,text-mining
32040838,text mining,lethal means assessment
32040510,text mining,natural language processing
32028860,text mining,sentence-based text mining
32025650,both,semisupervised machine learning framework
32008076,text mining,The search
32007937,text mining,Free-text analysis
31948827,text mining,N/LP ratio
31945587,other,natural language processing
31920316,text mining,informatics search tool and a natural language processing algorithm
31899451,text mining,natural language processing
31889886,text mining,mining information from local Indian news articles
31881909,text mining,large retrospective analysis of critically ill non-ARDS patients receiving mechanical ventilation
31875755,both,stereotactic body radiation therapy
31850650,both,natural language processing techniques
31843329,text mining,Modified Centor Score
31818369,text mining,unsupervised Markov clustering
31806270,text mining,personally generated data
31786810,both,Pair-wise meta-analysis
31784992,text mining,natural language processing
31763763,text mining,automated text-analytical systems
31711543,both,Freetext Matching Algorithm
31804782,both,Bayesian machine-learning option
31663467,text mining,ICD-9/10-CM codes and natural language processing
31647520,other,predictive modeling
31633756,text mining,Social media offer less resource-intensive data collection methods than traditional surveys
31597185,text mining,systematischen Muster
31544723,text mining,natural language processing
31517327,text mining,multivariate analysis
31513595,text mining,Multivariate survival analysis
31469397,both,fully adjusted regression models
31463695,both,Administrative data and manual review
31447711,both,Natural Language Processing
31443708,text mining,web-based questionnaire
31420410,text mining,Qualitative thematic text analysis followed by type-building text analysis
31411524,other,natural language processing algorithm
31404663,text mining,natural language processing
31396813,text mining,EHR phenotypes
31376277,both,International Classification of Diseases-10th Revision diagnoses codes
31371430,text mining,natural language processing of electronic notes
31362569,text mining,natural language processing
31361079,text mining,systematic recording methods
31340796,text mining,informatics pipeline
31328851,both,The Maslach Burnout Inventory
31311600,text mining,genome-wide association studies
31276428,both,retrospective data collection
31275909,text mining,computational phenotyping
31270114,both,systematic review
31265063,other,EHR free-text
31245254,text mining,narrative text fields
31209866,other,Random Forest algorithm
31199445,both,machine learning natural language processing
31196905,text mining,natural language processing algorithm
31165711,other,Machine learning techniques
31148545,both,video-based scenario testing
31145947,text mining,multilevel logistic regression
31134619,text mining,Stepdown logistic regression
31112123,text mining,Joinpoint Regression Program
31111463,both,natural language processing
31111340,both,We conducted a semi-structured survey
31106580,other,through examples
31104869,text mining,text-mining
31043825,both,"Surveillance, Epidemiology, and End Results database"
31023137,other,Text message content analysis
30964899,text mining,multivariable logistic regression models
30943952,text mining,rule-based
30877807,text mining,cause-of-death literal text from death certificates
30875704,text mining,text mining
30847767,text mining,record abstraction
30794610,text mining,text-mining
30777618,both,automated method
30768216,text mining,novel natural language processing
30740536,text mining,computerised system
30702378,text mining,electronic health record (EHR) data
30685678,text mining,multivariable-adjusted logistic regression
30646310,text mining,automated algorithms
30643942,text mining,natural language processing
30612991,text mining,Multivariate regression
30548462,text mining,case-finding algorithm
30371961,both,analytical text mining
30326300,text mining,electronic health record data
30312109,text mining,natural language processing data mining
30306697,text mining,electronic search
30292855,text mining,social media mining
30279717,both,a checklist in 60 first grade children by speech and language pathologist
30245362,text mining,cause-specific mortality assessment
30238276,text mining,natural language processing algorithm
30198104,text mining,real-time capture
30197233,both,natural language processing
30181315,both,natural language processing
30105774,text mining,text mining
29972595,other,natural language processing (NLP) algorithm
29954337,text mining,iterative approach
29945767,text mining,natural language processing
29920898,text mining,automatic
29907560,both,natural language processing algorithm
29901154,text mining,text mining
29897938,both,natural language processing
29879201,text mining,sentiment analysis algorithm
29869360,text mining,text mining
29858420,text mining,natural language processing software inference algorithm
29779720,text mining,Parsijoo search engine query logs of 48 months
29700974,text mining,Interpolation
29653739,text mining,text mining
29653650,text mining,natural language processing
29629986,both,natural language processing techniques
29550493,text mining,random model
29439692,text mining,birth cohort study
29432754,both,electronic health record-based algorithm
29381397,text mining,CRASH data
29370404,text mining,Cox regression
29342390,text mining,Household-contact investigation
29335238,text mining,Natural Language Processing
29310490,other,Algorithms
29295165,other,Natural Language Processing (NLP) based Not Only Structured Query Language architecture
29282328,text mining,mendelian randomization study design
29220621,text mining,innovative measure of individualized QOL
29141718,text mining,Text Mining
29094145,both,skin biopsy utilization
29084707,both,detecting pregnancy-indicating tweets
29047393,other,Artificial Intelligence and Machine Learning
28932767,text mining,Natural language processing
28925741,text mining,An email
28905434,text mining,validated language model
28899847,both,machine learning
28861720,text mining,split validation method
28842730,text mining,automated text-mining approach
28831738,text mining,natural language processing
28813689,text mining,machine-learning and information-theoretic approaches
28746899,text mining,Systematic analysis of reports of clinical trials
28738423,both,Retrospective cohort study
28734863,text mining,genetic linkage analysis
28667498,text mining,systematic literature search
28644851,other,systems-based method
28634156,text mining,automatic
28630032,other,natural language processing and machine learning techniques
28622808,text mining,electronic health records
28578250,text mining,automated content analysis
28544919,text mining,multiple logistic regression
28495342,text mining,local processing
28493543,text mining,fecal occult blood test/fecal immunochemical test
28455150,text mining,text-mining
28451691,other,three-phase preprocessing method
28447098,text mining,Natural Language Processing and Network Analysis Techniques
28446653,both,data from nationwide Swedish registers
28385151,both,Epi Info™ and the text data with NVivo software
28369058,text mining,genome-wide association
28295260,other,Automated
28246066,text mining,annotation scheme
28219417,both,extensive search strategy
28219324,both,systematic search of the literature
28134070,text mining,Preferred Reporting Items for Systematic Reviews and Meta-Analyses
28118024,text mining,text-mining program
28110055,text mining,electronic health record data
28102432,text mining,optimized gene
28062392,both,latent Dirichlet allocation natural language processing technique
28050745,both,semi-structured interviews and meeting discussions
27996932,text mining,Analysis of the literal text
27981925,text mining,observational
27927935,text mining,natural language processing
27927892,text mining,natural language processing tools
27882837,text mining,natural language processing
27864252,text mining,Routinely collected data
27744128,text mining,natural language processing
27744009,text mining,Research Optimizing Screening through Personalized Regimens
27685652,text mining,Apache Spark data streaming and machine learning
27678441,both,ePhenotyping algorithm
27659604,text mining,taxonomy
27649220,other,rule-based medical language processing method
27639695,both,Thematic text analysis
27571243,text mining,natural language processing and data mining
27544795,text mining,text analysis
27544263,text mining,Kaplan-Meier and Cox proportional hazard modelling
27481070,text mining,text mining tool
27425009,text mining,collect and analyze social media
27376095,other,natural language processing
27372895,text mining,narrative text analysis
27354069,both,Natural language processing techniques
27348317,other,NLP
27333269,text mining,Natural language processing tools
27332377,text mining,text-mining
27183846,text mining,clinical database
27173485,text mining,Logistic regression
27063285,text mining,NLP risk function
27062454,text mining,Spearman's correlation coefficient
26970729,text mining,t-tests or chi-square tests
26946289,text mining,semantic data mining
26911827,text mining,clinical decision support
26911818,other,knowledge derived from external geographical databases
26856215,text mining,computer-assisted potassium replacement protocol
26846127,text mining,mixed methods
29595920,both,Deterministic and probabilistic algorithms
26689275,both,el-based analysis
26673098,text mining,text mining
26651466,text mining,Computerized text analysis
26537487,other,logistic regression with adaptive LASSO
26443558,text mining,natural language processing
26420469,both,topic modeling
26323193,other,automatic classification system
26319542,text mining,Clinical text mining
26301417,text mining,CAD algorithm
26297364,other,primary care Big Data
26296077,text mining,linear regression
26273830,text mining,GATE Natural Language Processing (NLP) software
26262010,text mining,real-world clinical data
26262006,other,risk prediction model using machine learning techiniques that applies routine clinical care data
26254876,text mining,natural language processing
26214244,text mining,electronic health records and natural language processing
26210422,text mining,electronic medical records
26210362,other,natural language processing
26198696,other,extracted data
26195183,other,EMR-driven phenotype algorithm
26154702,text mining,systematic
26138998,text mining,textual analytics
26123912,computer vision,keynote paper
26096383,both,Generalized estimating equations
26042846,other,real-time
26005574,text mining,Lateral orbitotomy
26004790,other,"light"" annotation paradigm"
26000827,text mining,surveillance and survey data
25998036,text mining,anonymised electronic health record case register
25959636,text mining,NLP
25899003,text mining,natural language processing techniques
25888436,text mining,retrospective database analysis
25886140,both,administrative data or recruited from specialist tertiary referral clinics
25794453,text mining,population surveillance
25774454,other,Qualitative text analysis and inferential statistics
25760471,text mining,Computer-assisted manual review
25640294,text mining,automated surveillance
25620318,text mining,Tariff method
25567824,both,retrospective analyses
25488239,text mining,a combination of data and text mining
25486901,text mining,systems biology
25474213,text mining,computational text-mining techniques
25331122,both,manual coding
25168254,text mining,informatics
25160356,both,systematic and extensive planning and steering
25057893,text mining,Text mining
25053577,text mining,automated informatics
25029979,text mining,natural language processing and review of medical and pathology records
25000039,text mining,natural language processing
24758162,text mining,classification rule based on treatment duration and laboratory confirmed response
24745635,text mining,natural language processing
24709663,text mining,text and data analytic tool
24533044,text mining,computational linguistics
24518020,other,EpiData
24485708,text mining,text-mining software
24406258,text mining,Text mining
25861211,text mining,statistics
24212303,text mining,Retrospective review of medical records
24198135,text mining,AntConc 3.2.4
24135384,text mining,natural language processing
24104709,text mining,Retrospective case analysis
24070180,both,single blind
24069288,text mining,General Architecture for Text Engineering (GATE) natural language processing software
24060760,both,retrospective cohort analysis
24058494,text mining,PubMed search
24000236,text mining,immunophenotypic and molecular characterization
23920913,text mining,SNOMED CT
23915948,both,Gadamerian hermeneutic text analysis
23775174,text mining,large biomedical literature database
23775031,text mining,significant contributory factors for fall locations and activities associated with physical and cognitive characteristics
23700152,text mining,natural language processing
23673394,text mining,natural language processing
23646857,text mining,analysis of coded data; (ii) mining of triage text
23532576,both,automated text-mining procedure
23396836,text mining,Narrative text analysis
23296633,text mining,focus groups
23283039,text mining,simple random sampling
23274033,text mining,search strategy
23174216,text mining,Population Health Surveillance Theory
23095579,both,"retrospective, descriptive and analytical"
23042584,text mining,natural language processing
22910792,both,retrospectively analyzed
22823751,text mining,mass spectrometry
22712600,both,surgical repair
22287170,text mining,A retrospective review
22274933,text mining,an interview
22213490,text mining,BioSense system
22099474,both,tone-matching
22049906,text mining,Nail biopsy
22035578,text mining,Several surveys
21840085,text mining,Text Mining
21629134,both,retrospective
21605472,text mining,international literature review
21420548,other,Malaria-attributed
21401855,text mining,web-based survey
21292867,text mining,logistic regression model
21228072,text mining,text mining
21162981,both,Cluster sampling
21078198,text mining,text mining
21067576,text mining,text-mining
20616993,text mining,graph-based data mining
20110333,text mining,Case-based text analysis
19912132,text mining,Ultrasound
19850722,text mining,Gemina system
19515246,other,human visual pattern-recognition
19363755,text mining,Psychological Autopsy
20669397,text mining,Linguistic Inquiry and Word Count (LIWC) program
19261941,other,natural language processing of narrative data
20351929,text mining,The extended system
19049353,text mining,mixed-method
18999168,text mining,Classification and Regression Tree
18999064,other,recall-oriented search
18999057,other,Natural Language Processing
18998862,text mining,Metamap
18998827,text mining,algorithm
18181931,both,to describe the incidence of tooth and implant loss reported in long-term studies
17456828,text mining,diabetes case-finding algorithm
16518657,text mining,bi-directional sequencing
16294657,text mining,Computer-assisted text analysis
16170830,other,computer program
15120658,other,fever detection algorithms
15051204,text mining,clinical response to antitoxoplasmosis medications
12888316,text mining,text mining of the Medline database
11386474,other,Nonword Repetition Task
10362793,text mining,serial analysis of gene expression
9532439,computer vision,semistructured interview techniques
9413605,other,Case-based Reasoning
9196956,text mining,coproparasitologic analysis
8924180,text mining,keyword text analysis
7675775,text mining,immunohistochemistry
39451006,other,machine learning
39444373,text mining,machine learning models
39443017,text mining,pretrained deep neural network
39440446,both,PDP and SHAP algorithms
39436909,text mining,post-market data analysis
39433977,other,machine learning model
39424993,text mining,routinely collected hematological markers
39420647,text mining,pharmacovigilance research utilizing the FAERS database
39418246,other,neural network
39415343,text mining,predictive model
39409013,other,reliable calibration modeling method
39403340,other,machine learning
39387724,text mining,sampling and measurement
39393834,text mining,machine learning model
39392111,both,machine learning
39390093,other,mathematical system of differential equations
39385705,text mining,analyzing reports from the FDA Adverse Event Reporting System
39383158,other,multi-dimensional risk map
39379851,text mining,SHAP analysis
39376569,text mining,artificial neural network analysis
39363969,text mining,Shapley summation interpretation method
39358703,text mining,distribution lag non-linear model
39358470,both,ANN predictive model
39349067,text mining,machine learning-based
39347922,both,"Surveillance, Epidemiology, and End Results (SEER) database"
39346927,text mining,10 clustering algorithms
39343068,text mining,disproportionality analysis and the Bayesian confidence propagation neural network algorithm
39337913,text mining,correlation-based filter method of feature selection
39334280,text mining,retrospectively
39334146,text mining,machine learning
39333964,text mining,trend series of incidence numbers and incidence rates of three zoonotic diseases
39332854,text mining,SENSORS system
39332093,text mining,machine learning-based integrative procedure
39326409,other,electrocardiography
39326040,text mining,Extreme Gradient Boosting
39313739,text mining,machine-learning
39313396,text mining,multiple regression analysis
39297639,both,machine-learning classifier
39302916,text mining,machine learning
39300151,both,machine learning model
39300092,other,Adams-Bashforth predictor-corrector scheme
39297189,other,artificial intelligence
39295991,other,Levenberg-Marquardt learning technique
39294603,text mining,a comparison of eight distinct machine learning (ML) algorithms
39290307,text mining,supervised machine learning model
39283330,other,machine learning techniques
39282580,text mining,Survival Quilts
39278504,text mining,ecologic
39248449,text mining,Survival Quilts model
39245968,text mining,population-level classification
39244426,other,machine learning model with 17 predictor variables
39241092,other,a modified MCMC and a Recurrent Convolutional Neural Network
39237726,other,gradient blending
39236555,other,neural network
39234238,text mining,Adverse Event Reporting System (FAERS).
39232768,other,genome-wide polygenic risk score
39231189,other,opinion mining
39230789,text mining,Kriging
39217360,text mining,machine learning model
39209740,other,ophthalmic drug analysis
39208536,other,machine learning
39198754,text mining,artificial intelligence RF-Bi-LSTM algorithm
39197006,other,backpropagation neural networks
39195936,other,machine learning
39193914,both,modifiable lifestyle behaviors
39180961,other,multimodal assay combining serum microRNA with protein biomarkers and metadata
39179692,other,neural network models
39174681,other,"Surveillance, Epidemiology, and End Results (SEER) database"
39163277,other,validation data
39162726,both,linear regression models
39162366,text mining,Kaplan-Meier univariate analysis and Log-rank tests
39160507,text mining,XGBoost machine learning model
39158051,text mining,Partial Least Squares analysis
39145065,other,multicenter large retrospective analysis
39142146,text mining,activation region visualization technology
39129362,other,MetaFluAD
39123221,text mining,Venn analysis
39123113,both,population graph representation
39119968,text mining,machine-learning
39116330,other,Light Gradient Boosting Machine Algorithm
39103779,computer vision,genetic algorithm method
39087583,other,Shapley Additive Explanations
39079111,text mining,ML risk prediction model
39074161,text mining,direct sequencing
39073532,other,Python
39071698,other,structure equation modeling
39059317,both,BPRI
39058887,text mining,ML methods
39052087,other,nomogram analysis
39049366,other,"Chi-square, Neural network and logistic regression"
39046576,other,artificial neural networks
39040095,text mining,machine learning model
39039463,other,machine learning
39031573,text mining,artificial neural network
39029673,text mining,analyzing the FDA's Adverse Event Reporting System (FAERS) database
39029298,other,adaptive moment estimation (AdamW) algorithm
39027393,other,RNNs in epidemic modeling
39025912,other,unsupervised classification
39018757,other,SHAP
39013928,text mining,extreme gradient boosted model
39007912,other,Lasso-Cox analysis
38999959,text mining,RNA-sequencing
38995603,text mining,machine learning
38992984,other,machine learning
38985468,both,random forest algorithm
38985402,text mining,Sullivan and D'Agostino point based method
38981634,other,Logistic regression
38976869,other,self-explainable
38971198,text mining,structured data fields in the EHR
38968864,both,Geographically Weighted Neural Network
38968460,text mining,receiver operating characteristic (ROC) analysis
38963925,text mining,Bayesian networks
38963511,text mining,pharmacovigilance analysis
38959458,both,standard regression methods
